FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17097,Illinois,Lake,5509,240,233,246,463,167,249,240,33.7,29.5,38.0,95.1,33.2,26.0,277,5,4,5,12,4,4,10,10,10,10,9,10,8,7,9,755,130,50300,7,40861,6,246,12,7.0,274,6,5,6,32,31,33,43963,10,9,11,5414,3,2,4,9799,57,1753:1,9,83344,80593,86095,42806,51576,91296,29,57,35,3,2,3,169,5,4,6,703047,24.8,13.1,48244,6.9,6047,0.9,54089,7.7,654,0.1,150882,21.5,438212,62.3,34031,5.2,4.9,5.4,50.0,8915,1.3,
17099,Illinois,LaSalle,1539,382,363,402,532,218,393,50,51.1,37.9,67.4,,,,53,6,5,8,,,,11,11,12,11,11,11,11,8,13,55,58,12560,11,6950,6,65,20,11.0,101,13,10,15,31,29,32,5096,8,7,9,753,3,2,4,9912,47,2128:1,15,56543,52451,60635,,42405,52850,49,49,32,1,1,2,41,7,5,10,110642,21.6,18.2,2833,2.6,437,0.4,990,0.9,34,0.0,10533,9.5,94882,85.8,1265,1.2,0.9,1.5,49.5,34422,30.2,
17101,Illinois,Lawrence,248,437,382,493,,,,,,,,,,,,,,,,,,12,12,13,12,11,12,10,7,14,11,77,2310,14,878,5,,,8.0,23,20,13,30,33,32,34,586,7,6,8,91,3,2,4,11272,37,2730:1,47,44774,39467,50081,,53250,43380,55,,39,,,,,,,,16377,19.0,16.9,1644,10.0,63,0.4,72,0.4,5,0.0,630,3.8,13840,84.5,220,1.4,,,43.8,9766,58.0,
17103,Illinois,Lee,482,368,334,402,,,,17,60.8,35.4,97.4,,,,,,,,,,,11,11,11,11,10,11,10,7,13,31,105,3740,11,1209,3,17,16,7.0,30,12,8,18,30,29,31,1236,7,5,8,198,3,2,4,8771,41,2447:1,15,55563,49021,62105,,46528,55353,46,57,36,,,,,,,,34251,19.8,18.5,1769,5.2,113,0.3,286,0.8,15,0.0,2036,5.9,29708,86.7,303,0.9,0.5,1.3,47.1,19173,53.2,
17105,Illinois,Livingston,506,389,354,425,,,,18,56.0,33.2,88.4,,,,24,8,5,12,,,,11,11,12,11,10,11,9,7,12,77,246,4200,11,952,2,20,18,9.0,45,17,12,23,30,29,31,1369,7,6,8,254,3,2,4,9393,63,1588:1,22,54339,48167,60511,,37457,54882,44,48,23,4,2,7,16,9,5,14,36526,21.3,18.3,1643,4.5,107,0.3,283,0.8,6,0.0,1637,4.5,32452,88.8,175,0.5,0.2,0.8,49.5,15893,40.8,
17107,Illinois,Logan,445,433,391,474,,,,15,65.9,36.9,108.7,,,,,,,,,,,11,11,11,11,10,11,10,7,14,58,227,3990,13,3126,10,16,18,5.0,20,10,6,15,31,30,32,842,6,5,7,153,3,2,3,9818,41,2461:1,27,53052,48535,57569,16720,59410,54967,45,42,12,,,,13,9,5,15,29527,19.2,17.7,2384,8.1,105,0.4,257,0.9,6,0.0,996,3.4,25470,86.3,56,0.2,0.0,0.5,49.2,12081,39.9,
17109,Illinois,McDonough,335,340,302,378,,,,,,,,,,,,,,,,,,12,12,13,12,12,12,9,7,12,18,65,5050,16,2195,7,,,4.0,23,10,7,15,31,30,33,1418,8,7,9,170,3,2,4,9175,55,1823:1,,44460,39800,49120,,33333,41784,49,57,39,,,,,,,,30996,16.9,15.7,1666,5.4,99,0.3,638,2.1,5,0.0,851,2.7,27308,88.1,136,0.4,0.0,0.9,50.5,9622,29.5,
17111,Illinois,McHenry,2783,266,256,276,279,186,278,87,28.6,22.9,35.2,,39.7,27.1,89,4,3,5,,5,4,10,10,10,10,9,10,11,9,13,108,42,21450,7,21858,7,141,15,7.0,179,8,7,10,30,29,31,14107,7,6,8,2133,3,2,3,10253,35,2843:1,10,81570,77555,85585,70208,57343,81843,28,51,26,1,1,2,75,5,4,6,307004,24.2,13.2,4222,1.4,1438,0.5,8838,2.9,164,0.1,39458,12.9,250329,81.5,6965,2.4,2.1,2.7,50.2,30501,9.9,
17113,Illinois,McLean,1457,288,273,303,457,,289,79,51.7,41.0,64.5,103.3,,40.2,106,7,6,9,18,,6,11,10,11,11,10,11,7,6,9,161,111,21410,12,16606,10,69,13,6.0,86,7,6,9,32,31,33,5936,6,5,6,894,2,2,3,8469,65,1539:1,5,64271,59038,69504,32680,41905,66262,35,42,35,1,1,2,34,4,3,6,172418,21.8,12.3,13000,7.5,554,0.3,9443,5.5,95,0.1,8337,4.8,137706,79.9,1657,1.0,0.8,1.3,51.4,27974,16.5,
17115,Illinois,Macon,1613,410,389,431,543,,394,59,61.3,46.7,79.1,104.8,,43.1,81,9,7,11,16,,5,12,11,12,12,11,12,10,8,13,132,146,17330,16,8168,7,48,15,6.0,75,10,8,12,32,31,33,4485,7,6,8,540,2,2,3,9650,113,888:1,15,47786,43565,52007,21871,55341,51662,53,54,45,6,4,8,49,9,7,12,106550,22.3,18.8,18242,17.1,274,0.3,1279,1.2,43,0.0,2359,2.2,81659,76.6,305,0.3,,,52.0,16905,15.3,
17117,Illinois,Macoupin,662,387,355,418,,,,26,65.4,42.7,95.8,,,,27,9,6,13,,,,11,11,11,11,11,11,10,7,13,26,66,5380,12,2954,6,24,17,5.0,50,15,11,20,31,30,32,1969,7,6,8,284,3,2,4,10534,50,1996:1,14,52483,47379,57587,51618,73077,52324,48,63,24,,,,18,8,5,12,45908,21.3,19.7,423,0.9,160,0.3,174,0.4,15,0.0,549,1.2,44176,96.2,115,0.3,0.0,0.5,50.6,27949,58.5,
17119,Illinois,Madison,3723,402,389,415,636,128,393,125,52.9,43.6,62.2,148.6,,40.0,125,6,5,7,16,,4,12,11,12,11,11,11,9,7,11,204,91,34090,13,32492,12,234,29,10.0,217,12,10,13,33,32,34,11331,7,6,8,1211,2,1,3,10086,50,1983:1,13,56297,52560,60034,30595,45587,57848,44,54,46,4,3,5,120,9,7,11,265759,22.0,16.3,22400,8.4,881,0.3,2718,1.0,160,0.1,8464,3.2,226780,85.3,774,0.3,0.2,0.4,51.2,35924,13.3,
17121,Illinois,Marion,718,513,473,552,502,,516,28,79.4,52.8,114.8,,,,22,6,4,10,,,,12,12,13,12,12,12,10,7,13,18,56,5410,14,4926,12,30,26,11.0,37,14,10,19,31,30,32,1715,8,7,9,268,3,2,4,12025,94,1059:1,20,45698,42635,48761,22130,,44954,66,69,51,4,2,8,23,12,8,18,38140,22.9,19.0,1546,4.1,133,0.3,249,0.7,9,0.0,760,2.0,34830,91.3,187,0.5,0.2,0.9,51.2,17769,45.1,
17123,Illinois,Marshall,196,403,343,464,,,,,,,,,,,,,,,,,,10,10,11,10,10,11,12,8,16,8,78,1220,10,770,6,,,7.0,10,12,6,22,29,28,30,416,6,5,7,86,3,2,5,10034,25,3980:1,,54807,48740,60874,,54728,54313,46,,32,,,,,,,,11939,20.2,22.6,68,0.6,40,0.3,56,0.5,6,0.1,367,3.1,11328,94.9,38,0.3,0.0,1.0,50.3,12640,100.0,
17125,Illinois,Mason,217,407,349,464,,,,12,102.6,53.0,179.3,,,,,,,,,,,12,11,12,12,11,12,11,8,15,,,1830,13,1787,12,,,7.0,18,18,11,29,30,28,31,628,8,7,9,93,3,2,4,10609,44,2251:1,26,46962,42297,51627,,23542,43513,51,,,,,,15,22,12,36,13507,21.0,20.6,72,0.5,51,0.4,55,0.4,2,0.0,150,1.1,13027,96.4,11,0.1,0.0,0.6,50.5,11364,77.5,
17127,Illinois,Massac,310,558,493,624,637,,568,12,91.7,47.4,160.3,,,,,,,,,,,12,12,13,12,11,12,11,8,14,,,2180,15,675,4,,,12.0,17,16,9,26,31,30,33,643,8,6,9,85,3,2,3,10442,7,14658:1,,42833,37562,48104,22000,,44282,62,30,26,,,,13,17,9,30,14658,22.1,21.4,815,5.6,74,0.5,82,0.6,2,0.0,423,2.9,12954,88.4,48,0.3,0.0,1.0,52.2,7793,50.5,
17129,Illinois,Menard,148,307,255,359,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,10,7,14,10,95,1290,10,57,0,,,6.0,14,16,9,27,30,29,31,419,6,5,7,78,3,2,4,9370,8,12516:1,,62966,55395,70537,26417,,60634,32,,13,,,,,,,,12516,22.0,19.0,113,0.9,37,0.3,43,0.3,3,0.0,186,1.5,11995,95.8,0,0.0,0.0,0.7,51.3,9617,75.7,
17131,Illinois,Mercer,230,343,297,390,,,,,,,,,,,,,,,,,,10,10,10,10,10,11,12,8,15,11,82,1670,10,1160,7,,,5.0,14,12,7,21,28,27,30,548,6,5,7,97,3,2,4,9423,38,2622:1,,56661,51934,61388,,51563,55629,42,,34,,,,11,14,7,25,15730,21.4,21.3,98,0.6,30,0.2,62,0.4,6,0.0,367,2.3,15037,95.6,13,0.1,0.0,0.5,50.1,12779,77.8,
17133,Illinois,Monroe,294,241,213,270,,,,,,,,,,,,,,,,,,9,8,9,9,9,10,10,7,14,,,2600,8,1703,5,11,11,5.0,29,12,8,18,28,27,30,945,5,4,5,182,2,2,3,10006,44,2271:1,,83139,73967,92311,,,,19,,36,,,,15,9,5,15,34068,22.5,17.0,108,0.3,81,0.2,194,0.6,9,0.0,513,1.5,32909,96.6,40,0.1,0.0,0.5,50.5,13631,41.4,
17135,Illinois,Montgomery,427,404,364,444,,,,15,62.5,35.0,103.0,,,,,,,,,,,11,11,12,11,11,12,11,8,14,42,168,4000,14,2280,8,14,16,7.0,33,16,11,22,31,30,32,1097,7,6,8,174,3,2,4,9905,76,1316:1,32,46997,42233,51761,,67745,45213,51,,27,,,,13,9,5,15,28952,20.1,19.3,1006,3.5,64,0.2,136,0.5,11,0.0,521,1.8,27015,93.3,15,0.1,0.0,0.4,47.5,12530,41.6,
17137,Illinois,Morgan,506,386,351,421,503,,387,14,50.4,27.6,84.6,,,,,,,,,,,11,11,12,11,11,12,10,7,13,25,84,4470,13,4688,13,21,20,6.0,34,14,10,19,32,30,33,1234,6,5,7,165,2,2,3,9645,55,1804:1,12,48600,43265,53935,31034,35893,49573,62,67,55,,,,14,8,4,14,34277,19.5,19.3,2097,6.1,124,0.4,209,0.6,16,0.0,810,2.4,30530,89.1,159,0.5,0.0,1.0,49.5,12878,36.2,
17139,Illinois,Moultrie,182,355,301,409,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,10,7,13,,,1610,11,117,1,,,5.0,17,16,10,26,30,29,31,733,9,7,10,139,4,3,5,10756,20,4942:1,18,57447,50966,63928,,38750,52038,43,,,,,,,,,,14827,24.9,19.3,62,0.4,35,0.2,46,0.3,5,0.0,172,1.2,14398,97.1,52,0.4,0.0,1.0,51.1,10279,69.2,
17141,Illinois,Ogle,605,321,295,348,,266,330,16,33.4,19.1,54.3,,,,24,6,4,10,,,,11,10,11,11,10,11,9,7,12,33,76,5000,10,2928,5,24,15,5.0,51,14,10,18,29,28,31,2333,8,6,9,381,3,2,4,9412,27,3662:1,12,58812,53670,63954,,41083,57002,37,70,56,3,1,5,27,10,7,15,51273,22.8,18.0,501,1.0,192,0.4,299,0.6,37,0.1,5138,10.0,44666,87.1,1071,2.2,1.4,2.9,50.3,25197,47.1,
17143,Illinois,Peoria,2376,377,361,392,551,171,357,109,61.2,49.7,72.6,131.3,,33.1,148,8,7,9,18,,4,12,12,13,12,11,12,10,8,12,337,219,29420,16,12760,7,102,18,8.0,126,10,8,11,32,31,32,7819,7,6,8,1178,3,2,3,8535,151,661:1,15,52380,49656,55104,27094,44478,57101,48,61,46,9,7,10,104,11,9,13,185006,24.0,15.7,33468,18.1,734,0.4,7556,4.1,107,0.1,8735,4.7,129970,70.3,1898,1.1,0.9,1.3,51.5,27313,14.6,
17145,Illinois,Perry,310,399,353,446,,,,13,76.6,40.8,131.0,,,,,,,,,,,11,11,12,11,11,11,10,8,14,27,146,3090,14,2168,10,15,23,7.0,23,15,10,23,32,31,33,776,7,6,8,114,3,2,3,10914,56,1780:1,33,48423,43090,53756,,,,49,68,54,,,,,,,,21357,19.4,18.0,1793,8.4,78,0.4,128,0.6,12,0.1,642,3.0,18436,86.3,26,0.1,0.0,0.6,45.4,9754,43.6,
17147,Illinois,Piatt,189,308,261,354,,,,,,,,,,,,,,,,,,9,9,10,10,9,10,11,8,15,,,1390,8,115,1,,,5.0,13,11,6,19,29,28,30,542,6,5,7,113,3,2,4,10672,42,2366:1,,65797,58356,73238,,45909,70000,31,,15,,,,,,,,16560,22.7,18.8,90,0.5,32,0.2,78,0.5,7,0.0,229,1.4,15973,96.5,10,0.1,0.0,0.6,50.5,11319,67.7,
17149,Illinois,Pike,228,385,332,437,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,12,8,16,,,1840,11,1450,9,,,5.0,19,17,10,26,30,29,31,733,8,7,10,127,4,2,5,10454,69,1450:1,24,41671,37334,46008,,51563,40395,54,,8,,,,,,,,15950,22.2,20.3,291,1.8,39,0.2,50,0.3,10,0.1,202,1.3,15225,95.5,13,0.1,0.0,0.6,49.4,11880,72.3,
17151,Illinois,Pope,65,346,258,453,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,11,8,15,,,530,12,341,8,,,15.0,,,,,30,29,31,204,8,7,9,26,4,3,5,10468,24,4157:1,39,42917,37479,48355,,,,52,,11,,,,,,,,4157,13.7,22.7,276,6.6,31,0.7,16,0.4,2,0.0,85,2.0,3696,88.9,0,0.0,0.0,1.3,47.5,4470,100.0,
17153,Illinois,Pulaski,110,478,383,574,432,,508,,,,,,,,,,,,,,,15,14,15,14,13,14,12,9,16,11,228,1120,19,591,10,,,7.0,,,,,35,34,36,285,9,7,10,42,3,2,4,8963,,,,35875,31285,40465,24250,25000,36000,82,31,29,,,,,,,,5619,22.1,21.1,1733,30.8,34,0.6,16,0.3,3,0.1,127,2.3,3574,63.6,14,0.3,0.0,1.5,51.8,6161,100.0,
17155,Illinois,Putnam,85,361,282,456,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,11,8,15,,,600,10,132,2,,,9.0,,,,,29,28,31,222,7,5,8,43,4,3,5,9622,18,5611:1,,65902,57987,73817,,63750,63713,35,,,,,,,,,,5611,19.8,21.0,40,0.7,14,0.2,19,0.3,1,0.0,306,5.5,5185,92.4,58,1.1,0.0,2.5,48.9,6006,100.0,
17157,Illinois,Randolph,462,383,347,419,363,,402,13,51.3,27.3,87.8,,,,,,,,,,,11,11,12,11,10,11,10,7,13,37,130,3970,12,1124,3,22,22,7.0,76,33,26,41,31,30,33,1070,6,5,7,179,3,2,4,10860,64,1553:1,20,50681,46182,55180,23750,59464,49686,48,84,54,4,2,8,17,10,6,17,32621,19.2,17.8,3454,10.6,93,0.3,152,0.5,23,0.1,1039,3.2,27580,84.5,72,0.2,0.0,0.6,44.4,14275,42.6,
17159,Illinois,Richland,251,421,367,475,,,,11,77.3,38.6,138.3,,,,,,,,,,,12,12,12,12,11,12,12,8,16,6,45,2020,13,379,2,,,8.0,14,12,7,21,31,29,32,635,7,6,8,104,3,2,4,9664,50,1991:1,,46497,42099,50895,,,,53,,28,,,,,,,,15930,22.5,20.3,100,0.6,46,0.3,145,0.9,3,0.0,263,1.7,15197,95.4,10,0.1,0.0,0.6,50.6,7056,43.5,
17161,Illinois,Rock Island,1859,350,333,366,491,198,352,59,45.4,34.5,58.5,89.3,,43.3,77,6,5,8,16,,5,11,11,11,11,11,11,11,9,13,268,219,17620,12,9351,6,45,10,5.0,75,7,6,9,33,32,34,6672,8,7,9,865,3,2,3,9254,73,1366:1,13,50952,48882,53022,33234,44787,52687,53,49,36,3,2,5,47,6,5,9,144784,22.2,18.3,14245,9.8,839,0.6,3653,2.5,66,0.0,18334,12.7,105019,72.5,4036,2.9,2.5,3.3,50.7,16112,10.9,
17163,Illinois,St. Clair,3609,412,398,426,579,185,360,180,70.7,60.4,81.1,109.3,,49.6,182,8,7,9,12,,5,12,12,13,12,11,12,13,10,15,691,315,45870,17,32344,12,124,16,7.0,230,12,11,14,35,34,35,12688,8,7,9,1466,2,2,3,9881,72,1390:1,17,50598,47885,53311,27563,41567,62574,52,57,53,14,12,16,231,17,15,20,262759,23.8,14.6,79163,30.1,883,0.3,3574,1.4,260,0.1,10430,4.0,163219,62.1,1432,0.6,0.4,0.7,51.7,26343,9.8,
17165,Illinois,Saline,471,505,457,553,1015,,490,,,,,,,,,,,,,,,13,13,14,13,12,13,12,9,16,,,3920,16,4920,20,18,25,14.0,21,12,8,19,32,30,33,1058,7,6,9,131,2,2,3,10437,111,900:1,20,40690,36663,44717,,22763,41608,59,48,28,,,,13,11,6,18,24307,21.6,19.8,942,3.9,112,0.5,154,0.6,19,0.1,428,1.8,22241,91.5,193,0.8,0.3,1.4,50.7,10878,43.7,
17167,Illinois,Sangamon,2549,363,348,377,533,,348,106,58.3,47.2,69.3,129.1,,37.3,125,8,6,9,17,,5,11,11,11,11,11,11,10,8,13,292,175,27160,14,10207,5,114,19,6.0,148,11,9,12,33,32,34,7295,6,5,7,1059,2,2,3,9387,154,650:1,12,55090,51239,58941,27227,41908,62095,40,57,51,5,4,7,106,11,9,13,197499,22.7,16.6,24828,12.6,511,0.3,3875,2.0,66,0.0,4418,2.2,159528,80.8,795,0.4,0.3,0.6,51.9,27895,14.1,
17169,Illinois,Schuyler,118,415,336,494,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,10,7,14,,,950,13,269,4,,,5.0,10,20,9,36,31,30,33,354,8,7,10,42,3,2,4,9438,72,1385:1,,49566,43972,55160,32206,,48538,46,,,,,,,,,,6923,19.1,20.5,236,3.4,11,0.2,23,0.3,0,0.0,138,2.0,6487,93.7,27,0.4,0.0,1.4,47.2,4348,57.6,
17171,Illinois,Scott,75,395,308,498,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,10,7,14,,,610,12,68,1,,,8.0,,,,,30,29,31,194,6,5,7,36,3,2,4,9483,20,5053:1,,52386,46773,57999,,,,44,,,,,,,,,,5053,21.2,19.6,18,0.4,14,0.3,11,0.2,0,0.0,61,1.2,4903,97.0,13,0.3,0.0,1.6,51.1,5355,100.0,
17173,Illinois,Shelby,295,345,303,387,,,,10,53.3,25.6,98.1,,,,,,,,,,,11,11,12,11,11,12,10,7,14,7,38,2350,11,2034,9,,,6.0,23,15,9,22,30,28,31,903,7,6,8,145,3,2,4,9490,23,4343:1,17,51069,45232,56906,,50625,48724,44,,27,,,,,,,,21717,21.2,21.6,74,0.3,49,0.2,85,0.4,8,0.0,224,1.0,21109,97.2,21,0.1,0.0,0.5,50.4,17383,77.7,
17175,Illinois,Stark,96,421,334,524,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,8,15,,,650,11,562,9,,,5.0,11,27,13,48,29,28,31,221,7,6,8,47,4,3,5,8961,35,2888:1,,56414,52652,60176,,,,38,,,,,,,,,,5776,20.9,24.8,37,0.6,14,0.2,25,0.4,0,0.0,83,1.4,5547,96.0,6,0.1,0.0,1.4,50.3,5994,100.0,
17177,Illinois,Stephenson,589,342,313,372,454,,336,20,49.8,30.4,76.9,,,,,,,,,,,12,11,12,12,11,12,13,10,16,41,106,6440,14,1029,2,19,14,5.0,39,12,9,16,31,29,32,1867,7,6,8,273,3,2,4,8188,42,2401:1,13,45863,41561,50165,25798,38368,47940,53,54,50,3,2,6,23,10,6,15,45624,21.7,21.6,4405,9.7,122,0.3,298,0.7,18,0.0,1723,3.8,37891,83.1,153,0.3,0.1,0.6,51.5,19129,40.1,
17179,Illinois,Tazewell,1686,348,331,365,,,,50,40.2,29.8,53.0,,,,61,6,4,7,,,,10,10,10,10,10,11,10,8,12,48,43,14130,10,13777,10,68,17,7.0,83,9,7,11,28,27,29,4193,5,4,6,659,2,1,3,9091,35,2859:1,12,60590,56678,64502,,57152,60414,38,73,35,2,1,3,48,7,5,9,134385,22.8,18.0,1617,1.2,434,0.3,1106,0.8,46,0.0,3097,2.3,126561,94.2,276,0.2,0.1,0.3,50.7,27645,20.4,
17181,Illinois,Union,307,466,410,521,,,,11,75.6,37.7,135.3,,,,,,,,,,,12,11,12,12,11,12,11,8,15,9,61,2240,13,965,5,,,8.0,18,15,9,23,31,29,32,865,8,7,10,129,3,2,4,10053,128,782:1,23,45476,41306,49646,,33105,46706,64,,25,,,,,,,,17212,20.7,20.8,187,1.1,108,0.6,95,0.6,7,0.0,875,5.1,15743,91.5,87,0.5,0.0,1.0,50.3,11730,65.9,
17183,Illinois,Vermilion,1388,495,468,522,652,,485,61,80.2,61.4,103.1,173.3,,59.8,70,10,8,12,18,,8,13,12,13,12,12,12,12,9,15,123,188,12260,15,4669,6,54,23,9.0,68,12,9,15,32,31,33,3460,8,7,9,450,2,2,3,10161,101,989:1,20,45247,41937,48557,24504,34321,47054,65,66,60,6,4,8,55,14,10,18,78111,23.8,18.0,10422,13.3,295,0.4,673,0.9,22,0.0,3877,5.0,61349,78.5,504,0.7,0.4,1.0,50.2,25513,31.3,
17185,Illinois,Wabash,153,349,291,407,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,11,8,15,6,62,1340,12,218,2,,,6.0,14,17,9,29,29,28,31,469,7,6,8,81,3,2,4,9568,61,1642:1,,50195,43961,56429,,,,48,67,47,,,,,,,,11492,22.1,19.6,81,0.7,28,0.2,127,1.1,5,0.0,238,2.1,10887,94.7,62,0.6,0.0,1.6,50.2,4647,38.9,
17187,Illinois,Warren,208,313,269,358,,,,,,,,,,,,,,,,,,12,12,13,12,11,12,11,8,15,,,1880,11,620,4,,,5.0,21,17,11,26,31,30,32,887,9,8,11,153,4,3,5,9283,40,2483:1,,48346,43449,53243,46397,36901,45385,66,51,40,,,,,,,,17378,21.9,19.3,413,2.4,85,0.5,365,2.1,33,0.2,1657,9.5,14624,84.2,456,2.7,1.8,3.7,50.8,8053,45.5,
17189,Illinois,Washington,185,363,308,418,,,,,,,,,,,,,,,,,,10,10,11,10,10,11,10,7,14,,,1450,10,589,4,11,26,6.0,28,28,18,40,30,28,31,523,6,5,7,87,3,2,4,10731,64,1573:1,,58587,52533,64641,,30250,55264,38,,19,,,,,,,,14154,20.9,19.1,117,0.8,22,0.2,71,0.5,3,0.0,190,1.3,13606,96.1,50,0.4,0.0,0.9,49.9,10838,73.6,
17191,Illinois,Wayne,244,382,332,432,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,10,7,14,6,44,2020,12,1193,7,,,5.0,15,13,7,21,30,29,31,718,8,6,9,129,3,2,4,10026,79,1261:1,17,45583,40506,50660,,,,50,73,71,,,,,,,,16396,22.7,20.3,89,0.5,46,0.3,101,0.6,2,0.0,256,1.6,15759,96.1,94,0.6,0.0,1.3,50.4,11721,69.9,
17193,Illinois,White,258,475,414,537,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,11,8,15,8,66,1710,12,2075,14,,,8.0,24,24,15,35,29,28,31,566,7,6,8,92,3,2,4,10456,35,2858:1,22,44874,40047,49701,,35893,43660,51,,38,,,,11,15,8,27,14292,21.9,22.1,70,0.5,56,0.4,48,0.3,6,0.0,210,1.5,13793,96.5,80,0.6,0.0,1.2,51.0,9097,62.0,
17195,Illinois,Whiteside,758,360,333,387,,307,368,22,42.8,26.8,64.8,,,,,,,,,,,11,11,12,11,11,11,10,7,13,5,10,5620,10,4190,7,27,16,5.0,43,11,8,14,29,28,30,2604,8,7,9,348,3,2,3,9642,92,1087:1,15,51567,47699,55435,34360,44712,50058,49,47,47,,,,15,5,3,9,56536,22.3,19.8,834,1.5,268,0.5,288,0.5,17,0.0,6710,11.9,47923,84.8,408,0.8,0.4,1.1,50.5,21845,37.3,
17197,Illinois,Will,5901,274,267,281,353,179,285,255,35.2,30.8,39.5,68.7,38.6,28.2,315,6,5,6,11,4,5,10,10,10,9,9,10,9,8,11,494,88,52690,8,38861,6,321,16,7.0,354,7,7,8,31,31,32,31458,7,7,8,5315,3,2,3,10908,50,2016:1,11,81640,78659,84621,56419,60377,82918,36,54,45,3,3,4,208,6,5,7,689529,25.7,12.1,78793,11.4,2991,0.4,39540,5.7,328,0.0,117563,17.0,443133,64.3,21034,3.3,3.0,3.5,50.3,26624,3.9,
17199,Illinois,Williamson,944,387,361,412,408,,395,41,69.8,50.1,94.7,,,,38,7,5,10,,,,11,11,12,11,11,12,9,7,12,56,98,8650,13,2963,4,40,20,8.0,66,14,11,18,31,30,33,2648,7,6,8,345,2,2,3,10239,148,676:1,14,48112,44725,51499,31164,39706,46418,52,43,40,3,2,5,56,17,13,22,67560,21.9,18.1,3008,4.5,282,0.4,752,1.1,17,0.0,1756,2.6,60747,89.9,269,0.4,0.2,0.7,50.0,23091,34.8,
17201,Illinois,Winnebago,3974,400,388,413,596,215,398,168,61.2,52.0,70.5,111.1,41.8,50.5,162,6,5,7,12,5,5,12,11,12,11,11,12,11,9,13,369,155,39250,14,21680,7,289,34,12.0,220,11,9,12,36,35,37,15377,9,8,10,1997,3,2,4,9466,93,1075:1,18,50296,47687,52905,27715,38687,54328,50,53,43,8,6,9,162,11,10,13,285873,23.6,16.4,35790,12.5,1503,0.5,8105,2.8,150,0.1,35691,12.5,199582,69.8,6545,2.4,2.1,2.7,51.1,23368,7.9,
17203,Illinois,Woodford,390,295,264,325,,,,23,59.5,37.7,89.3,,,,,,,,,,,10,9,10,10,10,10,10,7,13,20,62,3540,9,693,2,18,15,5.0,32,12,8,17,28,27,29,1165,5,4,6,229,2,2,3,8547,43,2302:1,8,73055,68725,77385,,55972,68400,26,,21,,,,18,9,5,15,39140,24.4,17.2,246,0.6,107,0.3,269,0.7,10,0.0,723,1.8,37377,95.5,28,0.1,0.0,0.4,50.3,21221,54.9,
